"si","sj","logLik","AIC","BIC"
"sys1","sys2",114,14,14
"sys1","sys3",214,214,214
"sys1","sys4",9,14,14
"sys1","sys5",114,114,114
"sys1","sys6",2,2,14
"sys1","sys7",114,114,114
"sys1","sys8",10,0,0
"sys1","sys9",114,114,5
"sys1","sys10",204,204,204
"sys1","sys11",2,5,5
"sys1","sys12",204,204,204
"sys1","sys13",19,19,14
"sys1","sys14",2,14,14
"sys1","sys15",19,14,14
"sys1","sys16",9,14,14
"sys1","sys17",9,14,14
"sys1","sys18",214,14,14
"sys1","sys19",104,104,104
"sys1","sys20",2,2,2
"sys1","sys21",214,14,14
"sys1","sys22",214,214,14
"sys1","sys23",214,214,14
"sys1","sys24",204,204,5
"sys1","sys25",204,204,5
"sys1","sys26",204,204,5
"sys1","sys27",18,14,14
"sys1","sys28",2,0,0
"sys1","sys29",17,5,5
"sys1","sys30",17,5,5
"sys1","sys31",10,4,4
"sys1","sys32",10,1,1
"sys1","sys33",104,104,104
"sys1","sys34",114,114,0
"sys1","sys35",9,9,14
"sys1","sys36",19,19,4
"sys1","sys37",9,9,9
"sys1","sys38",7,14,14
"sys1","sys39",19,1,1
"sys1","sys40",10,6,6
"sys1","sys41",204,204,204
"sys1","sys42",204,1,1
"sys1","sys43",204,204,204
"sys1","sys44",19,1,1
"sys1","sys45",204,204,4
"sys1","sys46",204,204,204
"sys1","sys47",10,13,13
"sys1","sys48",19,14,14
"sys1","sys49",8,4,4
"sys1","sys50",9,4,4
"sys1","sys51",114,3,3
"sys1","sys52",7,1,1
"sys1","sys53",3,3,3
"sys1","sys54",2,2,2
"sys1","sys55",2,4,4
"sys1","sys56",2,2,2
"sys1","sys57",19,16,16
"sys1","sys60",214,214,0
"sys1","sys61",114,0,0
"sys1","sys62",204,204,204
"sys1","sys66",9,9,9
"sys1","sys68",9,14,14
"sys1","sys69",5,5,5
"sys1","sys70",10,5,5
"sys1","sys71",2,0,0
"sys1","sys72",214,214,14
"sys1","sys73",214,214,214
"sys1","sys74",104,104,13
"sys1","sys76",1,1,1
"sys1","sys77",19,19,14
"sys1","sys78",9,3,3
"sys1","sys79",9,9,14
"sys1","sys80",9,9,14
"sys1","sys81",9,9,14
"sys1","sys82",20,14,14
"sys1","sys85",1,1,1
"sys1","sys87",204,4,4
"sys1","sys88",2,5,0
"sys2","sys3",19,19,14
"sys2","sys4",19,19,14
"sys2","sys5",17,17,17
"sys2","sys6",20,16,16
"sys2","sys7",9,6,6
"sys2","sys8",20,5,5
"sys2","sys9",114,114,5
"sys2","sys10",2,5,5
"sys2","sys11",2,2,2
