"si","sj","logLik","AIC","BIC"
"sys1","sys2",19,1,1
"sys1","sys3",10,6,6
"sys1","sys4",10,6,6
"sys1","sys5",17,1,1
"sys1","sys6",9,14,14
"sys1","sys7",2,2,16
"sys1","sys8",9,9,14
"sys1","sys9",9,4,4
"sys1","sys10",19,19,19
"sys1","sys11",19,19,4
"sys1","sys12",2,1,1
"sys1","sys13",7,14,14
"sys1","sys14",204,4,4
"sys1","sys15",204,204,4
"sys1","sys16",17,14,14
"sys1","sys17",9,9,4
"sys1","sys18",114,114,14
"sys1","sys19",9,9,14
"sys1","sys20",2,2,4
"sys1","sys21",214,214,14
"sys1","sys22",19,4,4
"sys1","sys23",114,14,14
"sys1","sys24",7,4,4
"sys1","sys25",7,1,1
"sys1","sys27",114,14,14
"sys1","sys28",2,2,5
"sys1","sys30",19,19,4
"sys2","sys3",234,234,0
"sys2","sys4",2,0,0
"sys2","sys5",9,4,4
"sys2","sys6",19,14,14
"sys2","sys7",114,14,14
"sys2","sys8",19,14,14
"sys2","sys9",2,1,1
"sys2","sys10",2,4,4
"sys2","sys11",1,1,1
"sys2","sys12",5,5,5
"sys2","sys13",1,1,1
"sys2","sys14",204,204,1
"sys2","sys15",204,204,1
"sys2","sys16",7,14,14
"sys2","sys17",2,1,1
"sys2","sys18",7,3,3
"sys2","sys19",7,1,1
"sys2","sys20",104,4,4
"sys2","sys21",1,1,1
"sys2","sys22",19,4,4
"sys2","sys23",114,114,114
"sys2","sys24",18,14,14
"sys2","sys25",1,1,1
"sys2","sys27",2,2,14
"sys2","sys28",20,14,14
"sys2","sys30",1,1,1
"sys3","sys4",10,6,6
"sys3","sys5",2,0,0
"sys3","sys6",234,0,0
"sys3","sys7",30,0,0
"sys3","sys8",2,0,0
"sys3","sys9",10,6,0
"sys3","sys10",2,0,0
"sys3","sys11",2,0,0
"sys3","sys12",10,6,0
"sys3","sys13",204,0,0
"sys3","sys14",2,0,0
"sys3","sys15",124,124,0
"sys3","sys16",234,0,0
"sys3","sys17",10,6,0
