"si","sj","logLik","AIC","BIC"
"sys1","sys2",10,6,6
"sys1","sys3",10,6,6
"sys1","sys4",5,5,5
"sys1","sys5",104,104,0
"sys1","sys6",104,104,104
"sys1","sys7",10,5,5
"sys1","sys8",10,5,5
"sys1","sys9",10,5,5
"sys1","sys10",10,4,4
"sys1","sys11",204,13,13
"sys1","sys12",104,0,0
"sys1","sys13",20,0,0
"sys1","sys14",10,0,0
"sys1","sys15",10,4,4
"sys1","sys16",2,2,0
"sys1","sys17",114,114,114
"sys1","sys18",20,1,1
"sys1","sys19",9,4,0
"sys1","sys20",20,16,0
"sys1","sys21",10,0,0
"sys1","sys22",20,16,16
"sys1","sys23",114,3,3
"sys1","sys24",20,16,16
"sys1","sys25",104,0,0
"sys1","sys26",2,2,2
"sys1","sys27",2,16,16
"sys1","sys28",2,2,0
"sys1","sys29",114,5,5
"sys1","sys30",10,6,6
"sys1","sys33",10,5,5
"sys1","sys34",10,10,4
"sys1","sys35",10,5,5
"sys1","sys36",5,5,5
"sys1","sys37",20,5,5
"sys1","sys38",3,3,0
"sys1","sys39",20,16,16
"sys1","sys40",20,16,16
"sys1","sys41",20,3,3
"sys1","sys42",2,2,2
"sys1","sys43",3,3,3
"sys1","sys44",20,20,5
"sys1","sys45",9,4,4
"sys1","sys46",2,2,2
"sys1","sys47",2,2,2
"sys1","sys48",2,2,2
"sys2","sys3",19,13,13
"sys2","sys4",1,1,1
"sys2","sys5",104,104,0
"sys2","sys6",104,104,0
"sys2","sys7",20,14,14
"sys2","sys8",20,5,5
"sys2","sys9",19,14,14
"sys2","sys10",204,204,1
"sys2","sys11",214,214,214
"sys2","sys12",214,0,0
"sys2","sys13",114,114,0
"sys2","sys14",114,0,0
"sys2","sys15",114,3,3
"sys2","sys16",2,14,14
"sys2","sys17",114,114,5
"sys2","sys18",20,16,16
"sys2","sys19",7,7,4
"sys2","sys20",214,0,0
"sys2","sys21",214,0,0
"sys2","sys22",3,3,3
"sys2","sys23",20,3,0
"sys2","sys24",20,5,5
"sys2","sys25",20,16,16
"sys2","sys26",7,5,5
"sys2","sys27",2,5,0
"sys2","sys28",20,5,5
"sys2","sys29",13,13,13
"sys2","sys30",204,4,4
"sys2","sys33",214,1,1
"sys2","sys34",5,5,5
"sys2","sys35",1,1,1
"sys2","sys36",20,3,3
"sys2","sys37",214,0,0
