"si","sj","logLik","AIC","BIC"
"sys1","sys2",19,14,14
"sys1","sys3",1,1,1
"sys1","sys4",114,14,14
"sys1","sys5",17,1,1
"sys1","sys6",104,104,104
"sys1","sys7",19,4,4
"sys1","sys8",2,4,4
"sys1","sys9",17,1,1
"sys1","sys10",19,14,14
"sys1","sys11",9,14,14
"sys1","sys12",7,14,14
"sys1","sys13",2,2,14
"sys1","sys14",19,16,16
"sys1","sys15",19,16,16
"sys1","sys16",19,14,14
"sys1","sys17",19,16,16
"sys1","sys18",19,16,16
"sys1","sys19",20,5,5
"sys1","sys20",18,16,16
"sys1","sys21",3,3,3
"sys1","sys22",20,16,16
"sys1","sys23",3,3,3
"sys1","sys24",114,14,14
"sys1","sys25",20,16,16
"sys1","sys26",20,16,16
"sys1","sys27",214,214,14
"sys1","sys28",20,16,16
"sys1","sys29",19,14,14
"sys1","sys30",19,19,14
"sys1","sys31",19,14,14
"sys1","sys32",104,104,104
"sys1","sys33",104,104,1
"sys1","sys34",20,3,3
"sys2","sys3",20,16,16
"sys2","sys4",19,16,16
"sys2","sys5",3,3,3
"sys2","sys6",10,0,0
"sys2","sys7",10,13,13
"sys2","sys8",10,4,4
"sys2","sys9",3,3,3
"sys2","sys10",5,5,5
"sys2","sys11",20,16,16
"sys2","sys12",20,16,16
"sys2","sys13",20,16,16
"sys2","sys14",20,16,16
"sys2","sys15",2,16,16
"sys2","sys16",20,20,20
"sys2","sys17",20,16,16
"sys2","sys18",19,14,14
"sys2","sys19",9,9,14
"sys2","sys20",1,1,1
"sys2","sys21",7,14,14
"sys2","sys22",114,3,3
"sys2","sys23",2,16,16
"sys2","sys24",114,16,16
"sys2","sys25",2,2,2
"sys2","sys26",2,14,14
"sys2","sys27",104,104,5
"sys2","sys28",20,16,16
"sys2","sys29",214,214,214
"sys2","sys30",20,16,16
"sys2","sys31",214,3,3
"sys2","sys32",20,16,16
"sys2","sys33",19,19,14
"sys2","sys34",214,3,3
"sys3","sys4",204,204,204
"sys3","sys5",5,5,5
"sys3","sys6",104,104,104
"sys3","sys7",10,13,13
"sys3","sys8",10,5,5
"sys3","sys9",19,4,4
"sys3","sys10",3,3,3
"sys3","sys11",17,1,1
"sys3","sys12",19,4,4
"sys3","sys13",114,114,114
"sys3","sys14",114,3,3
"sys3","sys15",114,3,3
"sys3","sys16",17,1,1
"sys3","sys17",19,1,1
"sys3","sys18",19,14,14
"sys3","sys19",20,16,16
"sys3","sys20",20,16,16
"sys3","sys21",20,16,16
"sys3","sys22",20,16,16
"sys3","sys23",114,114,14
"sys3","sys24",20,14,14
"sys3","sys25",18,16,16
"sys3","sys26",20,5,5
"sys3","sys27",2,5,5
"sys3","sys28",2,14,14
"sys3","sys29",2,2,2
"sys3","sys30",2,2,4
"sys3","sys31",2,2,2
"sys3","sys32",214,214,14
"sys3","sys33",214,5,5
"sys3","sys34",19,16,16
"sys4","sys5",214,5,5
"sys4","sys6",40,0,0
"sys4","sys7",2,5,5
"sys4","sys8",10,5,5
"sys4","sys9",104,4,4
"sys4","sys10",19,16,16
"sys4","sys11",214,214,14
"sys4","sys12",2,2,14
"sys4","sys13",114,14,14
"sys4","sys14",20,16,16
"sys4","sys15",20,16,16
"sys4","sys16",214,214,14
"sys4","sys17",214,16,16
"sys4","sys18",214,16,16
"sys4","sys19",20,16,16
"sys4","sys20",20,16,16
"sys4","sys21",20,16,16
"sys4","sys22",214,214,214
"sys4","sys23",2,5,5
"sys4","sys24",17,14,14
"sys4","sys25",2,2,2
"sys4","sys26",2,2,2
"sys4","sys27",2,2,2
"sys4","sys28",2,2,2
"sys4","sys29",214,214,14
"sys4","sys30",2,2,2
"sys4","sys31",214,214,214
"sys4","sys32",214,214,214
"sys4","sys33",214,214,14
"sys4","sys34",9,1,1
"sys5","sys6",214,214,214
"sys5","sys7",10,5,5
"sys5","sys8",10,5,5
"sys5","sys9",19,13,13
"sys5","sys10",3,3,3
"sys5","sys11",17,14,14
"sys5","sys12",17,1,1
"sys5","sys13",114,114,14
"sys5","sys14",114,114,16
"sys5","sys15",3,3,3
"sys5","sys16",19,19,19
"sys5","sys17",19,19,14
"sys5","sys18",9,9,9
"sys5","sys19",20,3,3
"sys5","sys20",20,16,16
"sys5","sys21",19,14,14
"sys5","sys22",214,14,14
"sys5","sys23",9,9,14
"sys5","sys24",9,9,14
"sys5","sys25",214,214,14
"sys5","sys26",20,14,14
"sys5","sys27",2,5,5
"sys5","sys28",20,16,16
"sys5","sys29",2,2,2
"sys5","sys30",2,14,14
"sys5","sys31",2,2,2
"sys5","sys32",19,1,1
"sys5","sys33",214,214,1
"sys5","sys34",214,3,3
"sys6","sys7",204,204,0
"sys6","sys8",114,114,0
"sys6","sys9",214,214,0
"sys6","sys10",224,224,224
"sys6","sys11",114,0,0
"sys6","sys12",114,0,0
"sys6","sys13",10,6,6
"sys6","sys14",10,6,6
"sys6","sys15",204,204,6
"sys6","sys16",30,26,0
"sys6","sys17",30,26,0
"sys6","sys18",124,124,0
"sys6","sys19",224,0,0
"sys6","sys20",114,0,0
"sys6","sys21",10,0,0
"sys6","sys22",40,0,0
"sys6","sys23",124,124,0
"sys6","sys24",224,0,0
"sys6","sys25",124,124,0
"sys6","sys26",124,0,0
"sys6","sys27",124,0,0
"sys6","sys28",224,224,0
"sys6","sys29",214,214,214
"sys6","sys30",204,0,0
"sys6","sys31",214,214,0
"sys6","sys32",114,114,114
"sys6","sys33",114,0,0
"sys6","sys34",114,0,0
"sys7","sys8",114,114,114
"sys7","sys9",104,5,5
"sys7","sys10",8,6,6
"sys7","sys11",7,4,4
"sys7","sys12",10,4,4
"sys7","sys13",104,104,104
"sys7","sys14",104,6,6
"sys7","sys15",10,6,6
"sys7","sys16",10,4,4
"sys7","sys17",8,4,4
"sys7","sys18",10,1,1
"sys7","sys19",8,6,6
"sys7","sys20",9,4,4
"sys7","sys21",10,10,13
"sys7","sys22",5,5,5
"sys7","sys23",10,5,5
"sys7","sys24",10,5,5
"sys7","sys25",10,10,4
"sys7","sys26",2,0,0
"sys7","sys27",10,4,4
"sys7","sys28",2,0,0
"sys7","sys29",10,13,13
"sys7","sys30",19,1,1
"sys7","sys31",10,13,13
"sys7","sys32",104,104,4
"sys7","sys33",104,104,104
"sys7","sys34",20,3,3
"sys8","sys9",10,5,5
"sys8","sys10",10,4,4
"sys8","sys11",10,4,4
"sys8","sys12",10,10,4
"sys8","sys13",104,13,13
"sys8","sys14",10,4,4
"sys8","sys15",5,5,5
"sys8","sys16",10,5,5
"sys8","sys17",10,4,4
"sys8","sys18",10,5,5
"sys8","sys19",7,4,4
"sys8","sys20",7,1,1
"sys8","sys21",10,10,4
"sys8","sys22",5,5,5
"sys8","sys23",5,5,5
"sys8","sys24",10,5,5
"sys8","sys25",5,5,5
"sys8","sys26",2,4,4
"sys8","sys27",7,4,4
"sys8","sys28",7,4,4
"sys8","sys29",10,13,13
"sys8","sys30",1,1,1
"sys8","sys31",17,13,13
"sys8","sys32",8,4,4
"sys8","sys33",104,4,4
"sys8","sys34",3,3,3
"sys9","sys10",20,16,16
"sys9","sys11",2,2,14
"sys9","sys12",18,14,14
"sys9","sys13",1,1,1
"sys9","sys14",214,1,1
"sys9","sys15",214,14,14
"sys9","sys16",19,1,1
"sys9","sys17",19,1,1
"sys9","sys18",1,1,1
"sys9","sys19",20,5,5
"sys9","sys20",2,2,5
"sys9","sys21",7,3,3
"sys9","sys22",2,14,14
"sys9","sys23",2,2,2
"sys9","sys24",2,2,2
"sys9","sys25",2,2,2
"sys9","sys26",2,2,0
"sys9","sys27",104,104,104
"sys9","sys28",2,2,0
"sys9","sys29",19,6,6
"sys9","sys30",19,1,1
"sys9","sys31",19,6,6
"sys9","sys32",19,14,14
"sys9","sys33",2,2,14
"sys9","sys34",20,3,3
"sys10","sys11",20,16,16
"sys10","sys12",20,16,16
"sys10","sys13",20,16,16
"sys10","sys14",20,16,16
"sys10","sys15",214,16,16
"sys10","sys16",20,20,20
"sys10","sys17",20,16,16
"sys10","sys18",19,14,14
"sys10","sys19",9,9,14
"sys10","sys20",1,1,1
"sys10","sys21",18,14,14
"sys10","sys22",18,16,16
"sys10","sys23",2,16,16
"sys10","sys24",114,14,14
"sys10","sys25",2,2,2
"sys10","sys26",2,16,16
"sys10","sys27",104,104,104
"sys10","sys28",20,16,16
"sys10","sys29",9,1,1
"sys10","sys30",20,16,16
"sys10","sys31",9,9,1
"sys10","sys32",20,16,16
"sys10","sys33",19,19,14
"sys10","sys34",214,3,3
"sys11","sys12",204,204,204
"sys11","sys13",7,14,14
"sys11","sys14",9,3,3
"sys11","sys15",3,3,3
"sys11","sys16",9,1,1
"sys11","sys17",19,19,14
"sys11","sys18",19,19,14
"sys11","sys19",20,14,14
"sys11","sys20",9,9,1
"sys11","sys21",20,16,16
"sys11","sys22",20,16,16
"sys11","sys23",2,16,16
"sys11","sys24",20,16,16
"sys11","sys25",20,16,16
"sys11","sys26",2,2,16
"sys11","sys27",214,214,214
"sys11","sys28",20,16,16
"sys11","sys29",2,2,14
"sys11","sys30",114,114,14
"sys11","sys31",2,2,14
"sys11","sys32",7,14,14
"sys11","sys33",9,14,14
"sys11","sys34",5,5,5
"sys12","sys13",7,14,14
"sys12","sys14",3,3,3
"sys12","sys15",3,3,3
"sys12","sys16",19,19,1
"sys12","sys17",19,19,19
"sys12","sys18",19,19,1
"sys12","sys19",20,20,5
"sys12","sys20",9,9,1
"sys12","sys21",20,16,16
"sys12","sys22",20,16,16
"sys12","sys23",2,2,2
"sys12","sys24",2,2,16
"sys12","sys25",20,16,16
"sys12","sys26",2,2,0
"sys12","sys27",104,5,5
"sys12","sys28",2,16,16
"sys12","sys29",2,2,5
"sys12","sys30",114,14,14
"sys12","sys31",2,2,5
"sys12","sys32",9,14,14
"sys12","sys33",9,14,14
"sys12","sys34",20,5,5
"sys13","sys14",7,1,1
"sys13","sys15",114,114,14
"sys13","sys16",9,14,14
"sys13","sys17",9,14,14
"sys13","sys18",19,16,16
"sys13","sys19",20,16,16
"sys13","sys20",18,16,16
"sys13","sys21",3,3,3
"sys13","sys22",3,3,3
"sys13","sys23",20,16,16
"sys13","sys24",114,16,16
"sys13","sys25",20,16,16
"sys13","sys26",20,16,16
"sys13","sys27",5,5,5
"sys13","sys28",20,16,16
"sys13","sys29",19,1,1
"sys13","sys30",19,14,14
"sys13","sys31",19,14,14
"sys13","sys32",1,1,1
"sys13","sys33",7,1,1
"sys13","sys34",20,5,5
"sys14","sys15",17,1,1
"sys14","sys16",9,3,3
"sys14","sys17",20,16,16
"sys14","sys18",20,16,16
"sys14","sys19",20,16,16
"sys14","sys20",9,14,14
"sys14","sys21",20,16,16
"sys14","sys22",20,16,16
"sys14","sys23",20,16,16
"sys14","sys24",20,16,16
"sys14","sys25",3,3,3
"sys14","sys26",20,16,16
"sys14","sys27",17,1,1
"sys14","sys28",20,16,16
"sys14","sys29",19,14,14
"sys14","sys30",3,3,3
"sys14","sys31",7,3,3
"sys14","sys32",1,1,1
"sys14","sys33",104,104,1
"sys14","sys34",5,5,5
"sys15","sys16",20,16,16
"sys15","sys17",20,16,16
"sys15","sys18",20,16,16
"sys15","sys19",2,2,14
"sys15","sys20",204,204,204
"sys15","sys21",20,16,16
"sys15","sys22",3,3,3
"sys15","sys23",114,16,16
"sys15","sys24",114,16,16
"sys15","sys25",114,16,16
"sys15","sys26",114,16,16
"sys15","sys27",20,14,14
"sys15","sys28",114,16,16
"sys15","sys29",214,214,16
"sys15","sys30",3,3,3
"sys15","sys31",3,3,3
"sys15","sys32",114,114,14
"sys15","sys33",104,104,1
"sys15","sys34",204,204,4
"sys16","sys17",7,7,14
"sys16","sys18",9,9,9
"sys16","sys19",20,16,16
"sys16","sys20",20,16,16
"sys16","sys21",2,2,16
"sys16","sys22",20,16,16
"sys16","sys23",2,2,14
"sys16","sys24",9,9,16
"sys16","sys25",2,2,5
"sys16","sys26",214,16,16
"sys16","sys27",104,104,4
"sys16","sys28",20,16,16
"sys16","sys29",214,14,14
"sys16","sys30",19,14,14
"sys16","sys31",214,14,14
"sys16","sys32",19,14,14
"sys16","sys33",17,17,5
"sys16","sys34",20,14,14
"sys17","sys18",9,9,9
"sys17","sys19",20,16,16
"sys17","sys20",20,16,16
"sys17","sys21",2,2,16
"sys17","sys22",20,16,16
"sys17","sys23",9,14,14
"sys17","sys24",9,16,16
"sys17","sys25",18,16,16
"sys17","sys26",214,16,16
"sys17","sys27",214,214,14
"sys17","sys28",20,16,16
"sys17","sys29",214,214,14
"sys17","sys30",19,14,14
"sys17","sys31",214,214,14
"sys17","sys32",19,14,14
"sys17","sys33",17,17,4
"sys17","sys34",20,3,3
"sys18","sys19",19,14,14
"sys18","sys20",19,14,14
"sys18","sys21",2,2,14
"sys18","sys22",19,16,16
"sys18","sys23",9,9,14
"sys18","sys24",19,16,16
"sys18","sys25",19,16,16
"sys18","sys26",20,16,16
"sys18","sys27",9,1,1
"sys18","sys28",20,16,16
"sys18","sys29",19,16,16
"sys18","sys30",19,3,3
"sys18","sys31",20,16,16
"sys18","sys32",19,3,3
"sys18","sys33",17,1,1
"sys18","sys34",214,3,3
"sys19","sys20",104,104,104
"sys19","sys21",214,214,214
"sys19","sys22",9,9,5
"sys19","sys23",114,16,16
"sys19","sys24",19,16,16
"sys19","sys25",9,3,3
"sys19","sys26",3,3,3
"sys19","sys27",20,14,14
"sys19","sys28",114,16,16
"sys19","sys29",20,16,16
"sys19","sys30",20,3,3
"sys19","sys31",20,16,16
"sys19","sys32",20,3,3
"sys19","sys33",20,20,14
"sys19","sys34",2,4,4
"sys20","sys21",214,214,214
"sys20","sys22",214,214,16
"sys20","sys23",20,16,16
"sys20","sys24",20,16,16
"sys20","sys25",7,3,3
"sys20","sys26",3,3,3
"sys20","sys27",20,5,5
"sys20","sys28",20,16,16
"sys20","sys29",2,16,16
"sys20","sys30",20,16,16
"sys20","sys31",20,16,16
"sys20","sys32",3,3,3
"sys20","sys33",214,16,16
"sys20","sys34",9,1,1
"sys21","sys22",114,114,114
"sys21","sys23",19,4,4
"sys21","sys24",2,2,5
"sys21","sys25",7,14,14
"sys21","sys26",20,16,16
"sys21","sys27",9,5,5
