"si","sj","logLik","AIC","BIC"
"sys1","sys2",5,5,5
"sys1","sys3",104,104,4
"sys1","sys4",2,2,4
"sys1","sys5",9,6,6
"sys1","sys6",2,5,5
"sys1","sys7",104,6,6
"sys1","sys8",204,0,0
"sys1","sys9",204,6,6
"sys1","sys10",2,6,6
"sys1","sys11",9,4,4
"sys1","sys12",2,6,6
"sys1","sys13",104,4,4
"sys1","sys14",8,4,4
"sys1","sys15",1,1,1
"sys1","sys16",104,104,104
"sys1","sys17",104,104,104
"sys1","sys18",5,5,5
"sys1","sys19",104,104,104
"sys1","sys20",104,104,104
"sys1","sys21",104,104,104
"sys1","sys22",104,104,6
"sys1","sys23",104,6,6
"sys1","sys24",104,6,6
"sys1","sys25",104,6,6
"sys1","sys26",9,4,4
"sys1","sys27",7,1,1
"sys1","sys28",20,3,0
"sys1","sys29",9,4,4
"sys1","sys30",9,4,4
"sys1","sys31",9,9,4
"sys1","sys32",104,104,104
"sys1","sys33",104,104,104
"sys1","sys34",204,6,6
"sys1","sys35",7,4,4
"sys1","sys36",10,6,6
"sys1","sys37",7,4,4
"sys1","sys38",104,4,4
"sys1","sys39",10,13,13
"sys1","sys40",10,6,6
"sys1","sys41",19,6,6
"sys1","sys42",17,1,1
"sys1","sys43",19,6,6
"sys1","sys44",104,104,104
"sys1","sys45",8,4,4
"sys1","sys46",2,2,2
"sys1","sys47",10,6,6
"sys1","sys48",10,6,6
"sys1","sys49",9,6,6
"sys1","sys50",2,2,2
"sys1","sys51",9,4,4
"sys1","sys52",9,4,4
"sys1","sys53",9,9,4
"sys1","sys54",104,4,4
"sys1","sys55",9,4,4
"sys1","sys56",104,104,4
"sys1","sys57",2,2,4
"sys1","sys60",204,204,0
"sys1","sys61",204,204,0
"sys1","sys62",9,6,0
"sys1","sys66",104,104,4
"sys1","sys68",9,4,4
"sys1","sys69",2,2,5
"sys1","sys70",9,6,6
"sys1","sys71",104,104,0
"sys1","sys72",104,104,104
"sys1","sys73",214,14,14
"sys1","sys74",104,104,104
"sys1","sys76",9,4,4
"sys1","sys77",104,13,13
"sys1","sys78",7,4,4
"sys1","sys79",104,104,104
"sys1","sys80",104,4,4
"sys1","sys81",104,4,4
"sys1","sys82",9,4,4
"sys1","sys85",2,2,2
"sys1","sys87",10,6,6
"sys1","sys88",9,4,4
"sys2","sys3",8,13,13
"sys2","sys4",10,6,6
"sys2","sys5",104,104,104
"sys2","sys6",2,4,4
"sys2","sys7",10,6,6
"sys2","sys8",204,204,0
"sys2","sys9",2,2,5
"sys2","sys10",2,2,2
"sys2","sys11",104,4,4
"sys2","sys12",2,2,2
"sys2","sys13",104,104,104
"sys2","sys14",1,1,1
"sys2","sys15",7,1,1
"sys2","sys16",214,214,214
"sys2","sys17",104,104,104
"sys2","sys18",19,19,14
"sys2","sys19",104,13,13
"sys2","sys20",104,104,104
"sys2","sys21",104,6,6
"sys2","sys22",9,4,4
"sys2","sys23",104,6,6
"sys2","sys24",9,9,4
"sys2","sys25",9,4,4
"sys2","sys26",2,6,6
"sys2","sys27",9,9,4
"sys2","sys28",29,0,0
"sys2","sys29",9,4,4
"sys2","sys30",9,4,4
"sys2","sys31",9,4,4
"sys2","sys32",10,6,6
"sys2","sys33",10,6,6
"sys2","sys34",10,6,6
"sys2","sys35",9,4,4
"sys2","sys36",17,4,4
"sys2","sys37",9,4,4
"sys2","sys38",19,4,4
"sys2","sys39",8,4,4
"sys2","sys40",9,6,6
"sys2","sys41",9,6,6
"sys2","sys42",10,10,4
"sys2","sys43",9,6,6
"sys2","sys44",104,104,104
"sys2","sys45",2,2,4
"sys2","sys46",2,2,14
"sys2","sys47",104,104,6
"sys2","sys48",9,14,14
"sys2","sys49",9,6,6
"sys2","sys50",9,6,6
"sys2","sys51",9,4,4
"sys2","sys52",9,4,4
"sys2","sys53",9,4,4
"sys2","sys54",104,104,4
"sys2","sys55",104,104,4
"sys2","sys56",104,104,104
"sys2","sys57",9,13,13
"sys2","sys60",2,6,0
"sys2","sys61",2,6,0
"sys2","sys62",2,2,0
"sys2","sys66",2,4,4
"sys2","sys68",9,4,4
"sys2","sys69",9,9,4
"sys2","sys70",9,6,6
"sys2","sys71",214,16,0
"sys2","sys72",10,6,6
"sys2","sys73",1,1,1
"sys2","sys74",10,6,6
"sys2","sys76",2,4,4
"sys2","sys77",19,19,19
"sys2","sys78",9,1,1
"sys2","sys79",214,214,214
"sys2","sys80",104,4,4
"sys2","sys81",214,214,214
"sys2","sys82",9,4,4
"sys2","sys85",2,2,4
"sys2","sys87",10,6,6
"sys2","sys88",9,6,6
"sys3","sys4",7,4,4
"sys3","sys5",10,6,6
"sys3","sys6",10,6,0
"sys3","sys7",2,2,2
"sys3","sys8",114,6,0
"sys3","sys9",204,6,6
"sys3","sys10",9,6,6
"sys3","sys11",9,6,6
"sys3","sys12",10,6,6
"sys3","sys13",9,9,9
