"si","sj","logLik","AIC","BIC"
"sys1","sys2",3,3,3
"sys1","sys3",10,5,5
"sys1","sys4",10,13,13
"sys1","sys5",20,3,3
"sys1","sys6",20,3,3
"sys1","sys7",20,20,3
"sys1","sys8",20,20,3
"sys1","sys9",20,5,5
"sys1","sys10",114,3,3
"sys1","sys11",1,1,1
"sys1","sys12",20,5,5
"sys1","sys13",20,14,14
"sys1","sys14",20,14,14
"sys1","sys15",20,3,3
"sys1","sys16",7,3,3
"sys1","sys17",9,9,3
"sys1","sys18",19,16,16
"sys1","sys19",9,14,14
"sys1","sys20",214,214,5
"sys1","sys21",19,14,14
"sys1","sys22",1,1,1
"sys1","sys23",9,3,3
"sys1","sys24",20,20,5
"sys1","sys25",20,20,5
"sys1","sys27",214,214,214
"sys1","sys28",214,5,5
"sys1","sys30",20,14,14
"sys2","sys3",214,0,0
"sys2","sys4",20,0,0
"sys2","sys5",20,20,5
"sys2","sys6",20,14,14
"sys2","sys7",20,20,14
"sys2","sys8",20,14,14
"sys2","sys9",14,14,14
"sys2","sys10",114,114,5
"sys2","sys11",1,1,1
"sys2","sys12",5,5,5
"sys2","sys13",1,1,1
"sys2","sys14",20,3,3
"sys2","sys15",20,20,5
"sys2","sys16",20,20,5
"sys2","sys17",20,20,14
"sys2","sys18",20,14,14
"sys2","sys19",20,3,3
"sys2","sys20",104,104,104
"sys2","sys21",20,20,20
"sys2","sys22",20,14,14
"sys2","sys23",20,16,16
"sys2","sys24",20,20,20
"sys2","sys25",20,20,14
"sys2","sys27",20,5,5
"sys2","sys28",20,1,1
"sys2","sys30",20,20,14
"sys3","sys4",10,10,6
"sys3","sys5",204,204,0
"sys3","sys6",13,13,13
"sys3","sys7",114,114,0
"sys3","sys8",10,13,13
"sys3","sys9",204,204,0
"sys3","sys10",204,0,0
"sys3","sys11",10,0,0
"sys3","sys12",114,0,0
"sys3","sys13",10,0,0
"sys3","sys14",114,0,0
"sys3","sys15",10,0,0
"sys3","sys16",104,104,0
"sys3","sys17",104,0,0
"sys3","sys18",204,204,204
"sys3","sys19",10,13,13
"sys3","sys20",114,5,0
"sys3","sys21",204,204,0
"sys3","sys22",10,13,0
"sys3","sys23",10,5,5
"sys3","sys24",114,0,0
"sys3","sys25",114,5,5
"sys3","sys27",10,0,0
"sys3","sys28",10,5,0
"sys3","sys30",204,204,0
"sys4","sys5",20,0,0
"sys4","sys6",20,0,0
"sys4","sys7",20,5,0
"sys4","sys8",5,5,5
"sys4","sys9",204,1,1
"sys4","sys10",224,224,0
"sys4","sys11",124,0,0
"sys4","sys12",214,0,0
"sys4","sys13",204,204,0
"sys4","sys14",204,0,0
"sys4","sys15",204,204,0
"sys4","sys16",104,0,0
"sys4","sys17",10,6,0
"sys4","sys18",114,114,0
"sys4","sys19",10,5,0
"sys4","sys20",204,13,0
"sys4","sys21",214,5,0
"sys4","sys22",10,4,0
"sys4","sys23",20,5,5
"sys4","sys24",20,0,0
"sys4","sys25",20,0,0
"sys4","sys27",104,104,0
"sys4","sys28",104,104,0
"sys4","sys30",13,13,0
"sys5","sys6",20,5,5
"sys5","sys7",20,5,5
"sys5","sys8",214,214,214
"sys5","sys9",20,20,3
"sys5","sys10",7,1,1
"sys5","sys11",20,5,5
"sys5","sys12",20,14,14
