"si","sj","logLik","AIC","BIC"
"sys1","sys2",7,4,4
"sys1","sys3",10,5,5
"sys1","sys4",7,4,4
"sys1","sys5",5,5,5
"sys1","sys6",104,6,0
"sys1","sys7",5,5,5
"sys1","sys8",14,14,14
"sys1","sys9",1,1,1
"sys1","sys10",1,1,1
"sys1","sys11",5,5,5
"sys1","sys12",5,5,5
"sys1","sys13",2,2,5
"sys1","sys14",7,7,4
"sys1","sys15",19,14,14
"sys1","sys16",5,5,5
"sys1","sys17",5,5,5
"sys1","sys18",104,5,5
"sys1","sys19",5,5,5
"sys1","sys20",214,214,16
"sys1","sys21",1,1,1
"sys1","sys22",9,4,4
"sys1","sys23",7,14,14
"sys1","sys24",20,5,5
"sys1","sys25",19,14,14
"sys1","sys26",5,5,5
"sys1","sys27",5,5,5
"sys1","sys28",214,214,14
"sys1","sys29",5,5,5
"sys1","sys30",5,5,5
"sys1","sys31",5,5,5
"sys1","sys32",2,1,1
"sys1","sys33",10,5,5
"sys1","sys34",1,1,1
"sys2","sys3",9,9,1
"sys2","sys4",19,4,4
"sys2","sys5",10,13,13
"sys2","sys6",10,6,0
"sys2","sys7",10,10,10
"sys2","sys8",10,10,10
"sys2","sys9",1,1,1
"sys2","sys10",5,5,5
"sys2","sys11",104,104,104
"sys2","sys12",2,2,4
"sys2","sys13",2,5,5
"sys2","sys14",10,4,4
"sys2","sys15",5,5,5
"sys2","sys16",214,214,4
"sys2","sys17",104,104,104
"sys2","sys18",10,6,6
"sys2","sys19",10,10,4
"sys2","sys20",10,5,5
"sys2","sys21",10,10,4
"sys2","sys22",17,4,4
"sys2","sys23",17,5,5
"sys2","sys24",114,114,14
"sys2","sys25",5,5,5
"sys2","sys26",5,5,5
"sys2","sys27",104,104,104
"sys2","sys28",114,114,14
"sys2","sys29",10,1,1
"sys2","sys30",204,1,1
"sys2","sys31",19,14,14
"sys2","sys32",214,214,214
"sys2","sys33",9,9,4
"sys2","sys34",10,10,10
"sys3","sys4",204,204,204
"sys3","sys5",5,5,5
"sys3","sys6",104,104,6
"sys3","sys7",10,1,1
"sys3","sys8",114,114,14
"sys3","sys9",104,104,4
"sys3","sys10",9,1,1
"sys3","sys11",10,10,4
"sys3","sys12",10,10,4
"sys3","sys13",204,4,4
"sys3","sys14",204,204,204
"sys3","sys15",204,204,204
"sys3","sys16",5,5,5
"sys3","sys17",20,20,20
"sys3","sys18",19,4,4
"sys3","sys19",204,5,5
"sys3","sys20",204,13,13
"sys3","sys21",104,6,6
"sys3","sys22",8,6,6
"sys3","sys23",20,20,20
