"si","sj","logLik","AIC","BIC"
"sys1","sys2",104,4,4
"sys1","sys3",2,4,4
"sys1","sys4",204,204,4
"sys1","sys5",2,2,5
"sys1","sys6",2,2,2
"sys1","sys7",10,4,4
"sys1","sys8",17,4,4
"sys1","sys9",9,13,13
"sys1","sys10",19,4,4
"sys1","sys11",9,6,6
"sys1","sys12",19,19,19
"sys1","sys13",10,4,4
"sys1","sys14",204,204,204
"sys1","sys15",204,204,204
"sys1","sys16",204,204,6
"sys1","sys17",104,4,4
"sys1","sys18",8,6,6
"sys1","sys19",5,5,5
"sys1","sys20",5,5,5
"sys1","sys21",1,1,1
"sys1","sys22",9,4,4
"sys1","sys23",10,6,6
"sys1","sys24",8,6,6
"sys1","sys25",104,1,1
"sys1","sys26",7,4,4
"sys1","sys27",9,9,4
"sys1","sys28",10,13,13
"sys1","sys29",2,2,2
"sys1","sys30",2,2,2
"sys1","sys31",204,204,204
"sys1","sys32",104,104,104
"sys1","sys33",9,1,1
"sys1","sys34",7,4,4
"sys1","sys35",2,1,1
"sys1","sys36",5,5,5
"sys1","sys37",1,1,1
"sys1","sys38",214,214,214
"sys1","sys39",104,104,13
"sys1","sys40",214,1,1
"sys1","sys41",204,204,4
"sys1","sys42",114,114,14
"sys1","sys43",114,114,14
"sys1","sys44",9,6,6
"sys1","sys46",204,204,5
"sys1","sys48",10,6,6
"sys1","sys49",9,6,6
"sys1","sys50",19,6,6
"sys1","sys51",5,5,5
"sys1","sys52",214,1,1
"sys1","sys53",20,5,5
"sys1","sys54",2,2,2
"sys1","sys55",2,2,2
"sys1","sys56",7,7,4
"sys1","sys57",104,104,4
"sys1","sys58",9,1,1
"sys1","sys59",7,4,4
"sys1","sys62",104,104,13
"sys2","sys3",7,1,1
"sys2","sys4",2,2,6
"sys2","sys5",204,6,6
"sys2","sys6",2,6,6
"sys2","sys7",5,5,5
"sys2","sys8",2,4,4
"sys2","sys9",114,114,114
"sys2","sys10",13,13,13
"sys2","sys11",9,4,4
"sys2","sys12",19,13,13
"sys2","sys13",17,4,4
"sys2","sys14",204,204,204
"sys2","sys15",204,204,204
"sys2","sys16",204,204,4
"sys2","sys17",19,4,4
"sys2","sys18",9,9,1
"sys2","sys19",104,104,1
"sys2","sys20",10,5,5
"sys2","sys21",20,1,1
"sys2","sys22",7,4,4
"sys2","sys23",9,6,6
"sys2","sys24",8,6,6
"sys2","sys25",104,104,13
"sys2","sys26",104,4,4
"sys2","sys27",7,4,4
"sys2","sys28",8,4,4
"sys2","sys29",204,204,4
"sys2","sys30",2,2,5
"sys2","sys31",204,204,204
"sys2","sys32",104,4,4
"sys2","sys33",9,4,4
"sys2","sys34",7,4,4
"sys2","sys35",1,1,1
"sys2","sys36",1,1,1
"sys2","sys37",10,5,5
"sys2","sys38",10,13,13
"sys2","sys39",1,1,1
"sys2","sys40",214,1,1
"sys2","sys41",204,4,4
"sys2","sys42",114,114,14
"sys2","sys43",2,2,4
"sys2","sys44",2,6,6
"sys2","sys46",204,204,204
"sys2","sys48",10,6,6
"sys2","sys49",9,6,6
"sys2","sys50",10,6,6
"sys2","sys51",5,5,5
"sys2","sys52",214,214,214
"sys2","sys53",20,14,14
"sys2","sys54",2,2,2
"sys2","sys55",114,114,14
"sys2","sys56",7,4,4
"sys2","sys57",104,104,104
"sys2","sys58",9,9,4
"sys2","sys59",9,4,4
"sys2","sys62",10,13,13
"sys3","sys4",114,114,114
"sys3","sys5",204,204,0
"sys3","sys6",2,0,0
"sys3","sys7",20,5,5
"sys3","sys8",114,114,114
"sys3","sys9",204,204,5
"sys3","sys10",114,114,5
"sys3","sys11",2,5,5
"sys3","sys12",5,5,5
