"si","sj","logLik","AIC","BIC"
"sys1","sys2",104,104,4
"sys1","sys3",13,13,13
"sys1","sys4",204,204,4
"sys1","sys5",10,1,1
"sys1","sys6",104,6,6
"sys1","sys7",7,7,14
"sys1","sys8",9,14,14
"sys1","sys9",9,4,4
"sys1","sys10",9,9,4
"sys1","sys11",2,4,4
"sys1","sys12",10,4,4
"sys1","sys13",2,2,2
"sys1","sys14",1,1,1
"sys1","sys15",17,1,1
"sys1","sys16",114,114,14
"sys1","sys17",2,2,4
"sys1","sys18",9,9,9
"sys1","sys19",10,5,5
"sys1","sys20",19,19,14
"sys1","sys21",1,1,1
"sys1","sys22",1,1,1
"sys1","sys23",1,1,1
"sys1","sys24",14,14,14
"sys1","sys25",104,104,4
"sys1","sys26",2,4,4
"sys1","sys27",17,4,4
"sys1","sys28",1,1,1
"sys1","sys29",5,5,5
"sys1","sys30",20,5,5
"sys1","sys31",114,14,14
"sys1","sys32",2,4,4
"sys1","sys33",104,104,104
"sys1","sys34",104,1,1
"sys2","sys3",19,14,14
"sys2","sys4",19,14,14
"sys2","sys5",13,13,13
"sys2","sys6",204,13,0
"sys2","sys7",10,6,6
"sys2","sys8",10,6,6
"sys2","sys9",9,9,9
"sys2","sys10",8,4,4
"sys2","sys11",104,104,104
"sys2","sys12",19,19,14
"sys2","sys13",9,4,4
"sys2","sys14",1,1,1
"sys2","sys15",2,2,14
"sys2","sys16",9,14,14
"sys2","sys17",2,2,4
"sys2","sys18",2,6,6
"sys2","sys19",17,4,4
"sys2","sys20",19,13,13
"sys2","sys21",204,4,4
"sys2","sys22",17,4,4
"sys2","sys23",204,204,204
"sys2","sys24",114,114,114
"sys2","sys25",19,4,4
"sys2","sys26",204,204,13
"sys2","sys27",13,13,13
"sys2","sys28",114,114,4
"sys2","sys29",204,4,4
"sys2","sys30",9,1,1
"sys2","sys31",2,2,4
"sys2","sys32",2,2,2
"sys2","sys33",9,9,9
"sys2","sys34",104,104,104
"sys3","sys4",204,204,204
"sys3","sys5",5,5,5
"sys3","sys6",214,214,0
"sys3","sys7",114,114,0
"sys3","sys8",9,4,4
"sys3","sys9",104,104,4
"sys3","sys10",104,104,4
"sys3","sys11",10,13,13
"sys3","sys12",104,104,13
"sys3","sys13",10,5,5
"sys3","sys14",114,114,114
"sys3","sys15",114,114,114
"sys3","sys16",10,4,4
"sys3","sys17",5,5,5
"sys3","sys18",17,4,4
"sys3","sys19",20,14,14
"sys3","sys20",13,13,13
"sys3","sys21",10,6,6
"sys3","sys22",10,6,6
"sys3","sys23",10,10,4
"sys3","sys24",10,4,4
"sys3","sys25",104,104,4
"sys3","sys26",10,13,13
"sys3","sys27",10,10,13
"sys3","sys28",10,4,4
"sys3","sys29",204,4,4
"sys3","sys30",2,4,4
"sys3","sys31",2,2,4
"sys3","sys32",10,5,5
"sys3","sys33",214,5,5
"sys3","sys34",20,16,16
"sys4","sys5",5,5,5
"sys4","sys6",134,134,0
"sys4","sys7",2,16,0
"sys4","sys8",104,1,1
"sys4","sys9",104,104,5
"sys4","sys10",104,104,0
"sys4","sys11",104,104,14
"sys4","sys12",104,104,104
"sys4","sys13",2,5,5
"sys4","sys14",2,2,5
"sys4","sys15",20,16,16
"sys4","sys16",5,5,5
"sys4","sys17",5,5,5
"sys4","sys18",19,14,14
"sys4","sys19",20,14,14
"sys4","sys20",2,2,2
"sys4","sys21",104,4,4
"sys4","sys22",104,104,4
"sys4","sys23",10,10,5
"sys4","sys24",10,4,4
"sys4","sys25",104,104,104
"sys4","sys26",10,10,4
"sys4","sys27",2,2,4
"sys4","sys28",10,10,4
"sys4","sys29",104,104,4
"sys4","sys30",104,4,4
"sys4","sys31",104,104,104
"sys4","sys32",2,2,14
"sys4","sys33",104,104,104
"sys4","sys34",20,16,16
"sys5","sys6",214,0,0
"sys5","sys7",10,6,6
"sys5","sys8",19,4,4
"sys5","sys9",13,13,13
"sys5","sys10",19,13,13
"sys5","sys11",17,13,13
"sys5","sys12",13,13,13
"sys5","sys13",17,1,1
"sys5","sys14",114,114,114
"sys5","sys15",114,114,3
"sys5","sys16",10,4,4
"sys5","sys17",13,13,13
"sys5","sys18",104,4,4
"sys5","sys19",5,5,5
"sys5","sys20",9,1,1
"sys5","sys21",10,6,6
"sys5","sys22",10,6,6
"sys5","sys23",8,6,6
"sys5","sys24",204,4,4
"sys5","sys25",13,13,13
"sys5","sys26",10,6,6
"sys5","sys27",10,6,6
"sys5","sys28",10,4,4
"sys5","sys29",204,204,5
"sys5","sys30",204,5,5
"sys5","sys31",114,5,5
"sys5","sys32",17,13,13
"sys5","sys33",19,13,13
"sys5","sys34",10,0,0
"sys6","sys7",204,204,0
"sys6","sys8",10,0,0
"sys6","sys9",124,0,0
"sys6","sys10",124,0,0
"sys6","sys11",13,13,0
"sys6","sys12",114,114,0
"sys6","sys13",10,6,0
"sys6","sys14",204,204,0
"sys6","sys15",214,5,0
"sys6","sys16",204,204,0
"sys6","sys17",204,204,0
"sys6","sys18",10,6,0
"sys6","sys19",114,0,0
"sys6","sys20",10,0,0
"sys6","sys21",30,0,0
"sys6","sys22",40,0,0
"sys6","sys23",114,0,0
"sys6","sys24",204,204,0
"sys6","sys25",124,124,0
"sys6","sys26",114,0,0
"sys6","sys27",114,0,0
"sys6","sys28",114,0,0
"sys6","sys29",214,1,0
"sys6","sys30",204,204,0
"sys6","sys31",204,13,0
"sys6","sys32",204,204,204
"sys6","sys33",114,0,0
"sys6","sys34",26,0,0
"sys7","sys8",2,2,2
"sys7","sys9",104,104,6
"sys7","sys10",10,6,6
"sys7","sys11",9,4,4
"sys7","sys12",13,13,13
"sys7","sys13",10,6,6
"sys7","sys14",13,13,13
"sys7","sys15",204,6,6
"sys7","sys16",2,4,4
"sys7","sys17",9,6,6
"sys7","sys18",214,214,214
"sys7","sys19",1,1,1
"sys7","sys20",204,204,6
"sys7","sys21",9,6,6
"sys7","sys22",10,6,6
"sys7","sys23",2,2,2
"sys7","sys24",2,4,4
"sys7","sys25",9,6,6
"sys7","sys26",204,204,6
"sys7","sys27",9,4,4
"sys7","sys28",19,6,6
"sys7","sys29",2,4,4
"sys7","sys30",9,3,3
"sys7","sys31",10,6,0
"sys7","sys32",10,6,6
"sys7","sys33",104,6,6
"sys7","sys34",9,4,4
"sys8","sys9",104,6,6
"sys8","sys10",9,6,6
"sys8","sys11",9,4,4
"sys8","sys12",204,4,4
"sys8","sys13",10,6,6
"sys8","sys14",204,1,1
"sys8","sys15",204,204,4
"sys8","sys16",9,4,4
"sys8","sys17",9,6,6
"sys8","sys18",104,104,4
"sys8","sys19",214,214,14
"sys8","sys20",19,13,13
"sys8","sys21",104,13,13
"sys8","sys22",104,104,6
"sys8","sys23",2,2,14
"sys8","sys24",2,2,5
"sys8","sys25",9,6,6
"sys8","sys26",204,13,13
"sys8","sys27",19,19,4
"sys8","sys28",19,4,4
"sys8","sys29",2,4,4
"sys8","sys30",204,4,4
"sys8","sys31",204,4,4
"sys8","sys32",9,4,4
"sys8","sys33",104,6,6
"sys8","sys34",9,4,4
"sys9","sys10",9,9,9
"sys9","sys11",13,13,13
"sys9","sys12",19,13,13
"sys9","sys13",19,4,4
"sys9","sys14",19,4,4
"sys9","sys15",9,14,14
"sys9","sys16",204,204,4
"sys9","sys17",9,6,6
"sys9","sys18",9,4,4
"sys9","sys19",1,1,1
"sys9","sys20",9,6,6
"sys9","sys21",9,6,6
"sys9","sys22",9,6,6
"sys9","sys23",19,13,13
"sys9","sys24",19,4,4
"sys9","sys25",9,9,6
"sys9","sys26",9,4,4
"sys9","sys27",104,104,13
"sys9","sys28",10,10,1
"sys9","sys29",204,4,4
"sys9","sys30",10,5,5
"sys9","sys31",204,13,13
"sys9","sys32",17,4,4
"sys9","sys33",19,19,19
"sys9","sys34",9,9,1
"sys10","sys11",104,4,4
"sys10","sys12",19,19,1
"sys10","sys13",204,4,4
"sys10","sys14",7,4,4
"sys10","sys15",214,214,1
"sys10","sys16",2,2,4
"sys10","sys17",10,6,6
"sys10","sys18",9,6,6
"sys10","sys19",17,4,4
"sys10","sys20",9,13,13
"sys10","sys21",5,5,5
"sys10","sys22",4,4,4
"sys10","sys23",204,14,14
"sys10","sys24",114,16,16
"sys10","sys25",9,4,4
"sys10","sys26",204,4,4
"sys10","sys27",19,4,4
"sys10","sys28",9,4,4
"sys10","sys29",204,4,4
"sys10","sys30",204,4,4
"sys10","sys31",2,6,6
"sys10","sys32",2,2,2
"sys10","sys33",9,9,4
"sys10","sys34",104,104,104
"sys11","sys12",204,204,5
"sys11","sys13",9,4,4
"sys11","sys14",1,1,1
"sys11","sys15",9,3,3
"sys11","sys16",204,204,1
"sys11","sys17",204,4,4
"sys11","sys18",9,9,4
"sys11","sys19",204,204,5
"sys11","sys20",204,204,204
"sys11","sys21",2,2,4
"sys11","sys22",2,2,2
"sys11","sys23",19,19,14
"sys11","sys24",19,16,16
"sys11","sys25",9,4,4
"sys11","sys26",214,4,4
"sys11","sys27",9,4,4
"sys11","sys28",19,1,1
"sys11","sys29",2,2,14
"sys11","sys30",19,1,1
"sys11","sys31",204,204,4
"sys11","sys32",7,4,4
"sys11","sys33",9,1,1
"sys11","sys34",10,13,13
"sys12","sys13",2,4,4
"sys12","sys14",20,5,5
"sys12","sys15",20,20,1
"sys12","sys16",204,204,204
"sys12","sys17",204,13,13
"sys12","sys18",9,6,6
"sys12","sys19",204,204,4
"sys12","sys20",204,204,4
"sys12","sys21",204,6,6
"sys12","sys22",204,6,6
"sys12","sys23",204,4,4
"sys12","sys24",9,1,1
"sys12","sys25",19,19,1
"sys12","sys26",204,204,204
"sys12","sys27",13,13,13
"sys12","sys28",204,204,204
"sys12","sys29",204,204,4
"sys12","sys30",204,204,4
"sys12","sys31",204,204,4
"sys12","sys32",7,1,1
"sys12","sys33",2,1,1
"sys12","sys34",10,10,4
"sys13","sys14",5,5,5
"sys13","sys15",114,114,114
"sys13","sys16",2,2,14
"sys13","sys17",9,6,6
"sys13","sys18",2,2,2
"sys13","sys19",2,2,14
"sys13","sys20",2,2,14
"sys13","sys21",9,1,1
"sys13","sys22",104,1,1
"sys13","sys23",19,14,14
"sys13","sys24",2,14,14
"sys13","sys25",104,104,104
"sys13","sys26",19,19,1
"sys13","sys27",8,4,4
"sys13","sys28",9,9,14
"sys13","sys29",10,5,5
"sys13","sys30",10,13,13
"sys13","sys31",10,6,6
"sys13","sys32",9,1,1
"sys13","sys33",9,4,4
"sys13","sys34",1,1,1
"sys14","sys15",204,204,204
"sys14","sys16",10,5,5
"sys14","sys17",2,2,4
"sys14","sys18",19,14,14
"sys14","sys19",214,5,5
"sys14","sys20",1,1,1
"sys14","sys21",18,3,3
